material_id,formula,category,crystal_system,MQI,bulk_modulus_GPa,shear_modulus_GPa,density_g_cm3,melting_point_K,band_gap_eV,formation_energy_per_atom_eV
mp-881835,S,Perovskite,tetragonal,22.006266528892017,65.04,31.47,5.235,457.0,0.409,-4.1459
mp-955064,Na4Mn4,Ceramic,cubic,37.937601264799476,130.18,104.18,3.994,2322.0,5.943,-2.5705
mp-973403,Co4Pb3Sb3,Alloy,tetragonal,29.71689838406474,191.83,97.01,6.188,1382.0,0.0,-2.5685
mp-500105,Ar3Hf2,Oxide,tetragonal,41.26840228401864,123.49,66.93,5.252,3243.0,3.343,-4.2659
mp-139427,Ti4BTa4,Perovskite,tetragonal,26.500068705297704,103.0,43.97,7.679,422.0,1.951,-3.9124
mp-211192,Al4Cl3,Alloy,trigonal,18.12104720227311,81.46,41.11,6.118,1368.0,0.0,-0.6893
mp-375081,ZrNi3Co3,Oxide,hexagonal,33.88302537814662,202.86,117.72,3.268,2413.0,2.144,-1.5199
mp-314288,NClAs4,Ceramic,hexagonal,43.578599410619994,132.25,84.32,4.773,2357.0,8.646,-3.6165
mp-368656,Ta2,Intermetallic,orthorhombic,22.1001221895328,195.76,70.33,2.043,1910.0,0.0,0.0
mp-458000,Pd4Co4,Phosphide,hexagonal,21.228817238787805,100.78,65.81,3.181,1500.0,0.953,-1.0867
mp-755234,FWC3,Carbide,tetragonal,24.988445913197992,186.45,79.2,4.825,2065.0,0.547,-0.004
mp-792382,F3Ag,Oxide,cubic,40.754028576018555,190.12,135.72,7.271,2287.0,5.361,-1.8545
mp-352916,NaAr4,Alloy,cubic,30.599484675411105,185.99,115.75,9.038,1500.0,0.0,-1.844
mp-507367,Te4H2ZnAg,Ceramic,cubic,38.504450601221826,163.11,130.8,1.078,2435.0,5.892,-2.2429
mp-714046,Cl3F3,Sulfide,hexagonal,19.738811664322032,40.76,11.01,8.979,1437.0,0.927,-1.3492
mp-623988,Si4,Semiconductor,hexagonal,18.18607388492968,66.83,26.36,3.595,1535.0,1.516,-0.7208
mp-16666,Co2C2Be3,Alloy,monoclinic,25.690490164795662,155.76,60.24,4.988,2191.0,0.0,-1.1422
mp-981103,Mn3Ga,Intermetallic,tetragonal,25.14522723742707,142.5,69.72,7.424,1576.0,0.0,-1.4244
mp-910845,Ti4Ca4,Phosphide,hexagonal,22.467687785136025,98.64,52.71,3.622,1686.0,4.086,0.091
mp-597386,He2SNe,Ceramic,cubic,40.57076547334298,248.29,85.89,6.026,1144.0,4.534,-4.4593
mp-275729,B4GeS3,Metal,tetragonal,26.611333992097702,130.93,52.58,7.753,1078.0,0.0,-3.2645
mp-889532,B2Ba3Ag2,Phosphide,hexagonal,24.86403662836513,170.51,82.9,1.948,1231.0,2.368,-1.1736
mp-961827,Cu4Pb2P,Sulfide,hexagonal,19.571689927858802,53.82,29.21,1.872,2331.0,1.858,-0.2987
mp-668826,Pd2S4,Metal,cubic,20.835868488176878,99.99,52.18,7.813,1077.0,0.0,-1.4044
mp-932743,Pd4Li3Ir,Semiconductor,cubic,14.965248602997917,67.67,33.13,5.924,949.0,1.407,0.1906
mp-741207,Os4,Oxide,trigonal,32.30499421910491,112.07,40.84,3.85,2362.0,3.83,-2.8561
mp-262211,Nb4,Metal,cubic,18.829150331648275,149.87,72.48,7.548,787.0,0.0,0.0
mp-414458,IrO4Zn3,Carbide,tetragonal,27.526969555293846,233.58,128.33,5.053,1327.0,0.628,-0.4767
mp-520888,In4Li,Carbide,triclinic,32.55533883289842,212.24,129.56,5.446,2549.0,1.223,-0.3972
mp-174250,Pt2Os4,Semiconductor,tetragonal,19.417091381288614,97.14,71.21,4.744,626.0,2.155,-0.8084
mp-390683,Y3BeAs,Perovskite,cubic,28.84244558366863,93.16,64.92,3.599,969.0,1.458,-4.7895
mp-976790,RuFe,Carbide,orthorhombic,33.65764571620248,217.74,129.24,6.565,2232.0,2.176,-0.5705
mp-682483,Cd4,Metal,cubic,30.8748910748929,178.98,157.66,13.345,1697.0,0.0,0.0
mp-488929,Ca4SnNa2,Silicate,cubic,30.24909586473803,146.63,74.11,3.124,1989.0,3.06,-2.0178
mp-460572,Te3Pd4,Ceramic,hexagonal,33.05072779031365,107.87,17.24,5.657,1619.0,7.125,-2.8701
mp-291409,Mn2N2Na,Halide,cubic,32.484960050730955,26.75,16.53,4.492,1758.0,5.847,-4.5027
mp-374178,S2K2Ca4Li2,Perovskite,tetragonal,20.99801329710543,87.41,21.38,5.713,1168.0,0.349,-2.3808
mp-655429,Re2Si2B2Li,Halide,cubic,31.769772362641756,140.66,48.48,7.241,816.0,7.024,-2.2907
mp-975075,Re2K,Boride,cubic,25.914818959368503,233.91,118.35,6.136,953.0,0.099,-0.6727
mp-970024,Ge3Te4Ru4Ca2,Intermetallic,cubic,15.993849612688468,74.73,14.55,7.201,1741.0,0.0,0.376
mp-783954,V2Ce3,Chalcogenide,tetragonal,17.94181000859048,70.86,45.77,9.717,933.0,0.515,-0.3776
mp-227872,Li3Nb3Be3,Phosphide,cubic,10.377317184873506,2.0,1.2,0.814,1867.0,0.815,0.5633
mp-731116,Li3Ti4,Alloy,monoclinic,21.420844337102373,146.44,66.38,5.251,1745.0,0.0,-0.1237
mp-212967,Y4Ca,Metal,cubic,13.373807323780975,86.56,62.47,9.496,333.0,0.0,0.7242
mp-83190,Ce4ReO4,Perovskite,monoclinic,30.663290343146727,141.58,58.98,5.026,1392.0,1.304,-4.0109
mp-142605,BiNe3TiNa4,Semiconductor,tetragonal,20.57500045466138,98.41,65.26,1.608,1749.0,1.351,-0.5954
mp-82860,Pt3V4W,Oxide,monoclinic,33.642598870601645,126.5,76.92,3.878,1725.0,6.315,-2.2602
mp-85677,H4FeNe4,Ceramic,trigonal,42.709083822992405,186.74,78.74,5.316,1489.0,7.343,-4.538
mp-7167,Os4C4,Nitride,cubic,35.059920227930206,291.58,154.91,4.577,1199.0,2.791,-1.343
mp-407351,Si2Pb3,Boride,hexagonal,32.07341529001263,207.58,157.53,4.525,1925.0,0.153,-1.4693
mp-239974,Sn2Zn2,Silicate,cubic,24.893657261229635,18.59,11.23,7.192,525.0,7.78,-2.1728
mp-958209,ArCo4,Metal,trigonal,23.648926160982327,158.58,87.67,7.214,1356.0,0.0,-0.6396
mp-68397,Ce4B2,Ceramic,monoclinic,27.46823586240276,105.44,72.95,4.086,1667.0,2.642,-2.065
mp-32030,Cl2Pd4Ca,Semiconductor,cubic,16.738937051924097,113.49,83.75,3.622,661.0,0.445,-0.2836
mp-51436,CuPtRu2,Ceramic,cubic,38.14213247557305,78.62,46.55,4.627,2475.0,7.876,-3.1967
mp-597649,Cl3P3,Oxide,trigonal,47.036500263091526,164.25,89.86,5.718,2660.0,9.021,-3.5395
mp-928397,O3Rh2Be4Ne3,Ceramic,tetragonal,32.462456244519,57.35,24.79,8.173,2297.0,2.628,-3.8356
mp-989514,Ge2K2,Chalcogenide,tetragonal,22.980368981264633,101.43,40.68,6.288,1697.0,0.3,-1.6251
mp-161900,Sc4Cl2Pb4,Metal,monoclinic,23.091151382153733,202.04,98.41,6.83,963.0,0.0,-0.2913
mp-668447,Ca2Nb2,Metal,trigonal,20.448953037704985,88.44,44.78,12.057,1255.0,0.0,-0.381
mp-949325,Be2Ga2,Carbide,hexagonal,43.31301105596634,372.61,157.09,6.155,2592.0,1.693,-1.3527
mp-518556,ReOs,Perovskite,hexagonal,24.968369796485334,158.39,95.27,3.09,1012.0,0.15,-2.3753
mp-4968,Li4SeMg3B4,Metal,orthorhombic,23.88670607235128,129.3,72.96,12.932,1057.0,0.0,-0.7404
mp-76062,Si3Sn4Ag,Sulfide,orthorhombic,24.652318288389672,145.4,76.27,3.913,952.0,1.65,-1.9897
mp-727309,K4Ge2Sb,Intermetallic,cubic,22.20148745577528,31.5,13.16,4.96,2739.0,0.0,-1.6067
mp-129981,Ar4Pd3In3,Ceramic,orthorhombic,40.88831170612518,169.73,130.9,5.216,1367.0,6.19,-3.8249
mp-64802,SiO2,Oxide,orthorhombic,37.483783437449404,214.8,68.55,4.977,2642.0,3.265,-2.4626
mp-935192,B4Ga3P3Mo,Ceramic,trigonal,38.977751174933964,148.85,55.91,4.73,3868.0,3.834,-2.038
mp-108093,Bi3Sb3,Metal,cubic,19.380283400919073,96.51,9.11,7.827,1506.0,0.0,-1.0198
mp-252645,SSiCe2W3,Sulfide,cubic,20.65923261064118,91.71,26.44,4.924,1861.0,2.457,-0.0607
mp-150778,Al3H3W2Fe3,Oxide,hexagonal,46.51819717156515,248.78,134.34,5.446,1469.0,7.512,-3.9748
mp-608722,Al3Cr4Ge,Halide,hexagonal,23.83663185924475,98.43,56.9,3.472,1367.0,1.105,-2.4207
mp-96237,Ca3Cu4,Metal,orthorhombic,15.59821119471167,108.51,47.23,4.25,485.0,0.0,-1.0004
mp-402523,Sr4Mo3,Oxide,orthorhombic,28.40635243164628,16.81,1.66,4.834,2287.0,2.609,-3.9925
mp-265895,Mg4Cd,Alloy,cubic,24.851923878562022,111.51,75.71,9.481,1506.0,0.0,-1.3243
mp-775009,CdAl3,Metal,hexagonal,18.553532670784474,117.26,41.72,2.289,1840.0,0.0,-0.3594
mp-28463,H2Rh4,Silicate,cubic,24.043174220091654,14.99,10.39,4.904,1135.0,6.7,-1.9255
mp-40225,Ti2Ne2,Metal,triclinic,29.879846669730636,230.98,166.02,8.039,1377.0,0.0,-0.3149
mp-959169,Ca2In2Si2Se3,Metal,monoclinic,25.27288226460042,154.69,87.57,4.297,1528.0,0.0,-1.6805
mp-884005,ReY2La3P4,Ceramic,hexagonal,40.2308872207895,206.06,122.26,4.059,1214.0,4.198,-4.6903
mp-576298,Ce4W4Be2,Ceramic,hexagonal,42.39960522156641,158.15,130.04,4.587,2775.0,6.308,-2.3862
mp-25686,V4Ge4Al,Oxide,orthorhombic,45.09534841953757,284.88,45.13,4.248,1124.0,8.93,-4.7477
mp-166880,Hf2Ti,Oxide,cubic,34.73320250941488,154.32,87.71,3.172,1681.0,7.776,-1.5657
mp-427762,YSe,Intermetallic,trigonal,29.35939109074699,152.5,90.21,11.501,2440.0,0.0,-0.2875
mp-648448,Nb,Carbide,monoclinic,27.701250315055077,290.64,119.83,1.835,1630.0,1.709,0.4804
mp-102772,Cr4Re2,Oxide,orthorhombic,32.55196051320594,170.53,127.69,4.216,2306.0,0.812,-1.9055
mp-26663,Pd3F4,Ceramic,monoclinic,38.5515882308712,217.41,86.7,2.986,2240.0,4.821,-2.7912
mp-818315,InGe2,Metal,cubic,35.10087202566158,253.4,171.25,8.111,2364.0,0.0,-0.3419
mp-756374,Rh3NbZn2,Ceramic,orthorhombic,37.6973498762381,145.3,68.4,5.277,1882.0,7.198,-2.7825
mp-723626,LaHe4H2,Oxide,orthorhombic,31.527913155632447,143.86,83.0,3.977,2101.0,0.5,-3.3115
mp-500169,Li3S2,Metal,orthorhombic,15.300477721945805,24.27,9.06,9.978,1732.0,0.0,0.3753
mp-601536,Cd2In2,Oxide,cubic,36.94199586204002,187.81,90.96,6.229,2086.0,2.238,-3.3578
mp-282706,Ag2Zn2,Alloy,triclinic,22.926523252721715,71.16,26.84,4.916,3222.0,0.0,-0.2646
mp-116333,Sr2Zr4Re3,Alloy,cubic,19.889246079841808,136.13,97.69,8.564,200.0,0.0,-0.8734
mp-259081,Ca2,Metal,tetragonal,18.366062014660493,108.27,27.76,12.249,982.0,0.0,0.0
mp-206195,Sb3Nb4,Perovskite,hexagonal,19.51581803875838,22.92,5.25,4.859,1263.0,1.935,-2.2826
mp-348795,AgCl4Zr3,Ceramic,hexagonal,34.991316110561094,221.19,137.71,5.079,1845.0,2.196,-1.8217
mp-332735,Cu4Ne3Al3As3,Alloy,hexagonal,22.1908453344328,115.72,73.36,3.917,1925.0,0.0,-0.7299
mp-752680,O4Co4,Intermetallic,hexagonal,24.513224075618815,160.45,131.83,4.506,1825.0,0.0,0.1124
mp-223910,Re2W4,Perovskite,cubic,19.161705564198265,61.54,36.76,4.323,355.0,0.169,-3.4335
mp-128453,Ru,Intermetallic,cubic,20.786879425227113,71.93,39.49,7.55,2362.0,0.0,0.0
mp-886601,Si2HeCdHf3,Halide,monoclinic,32.52055388664746,99.56,73.83,1.231,1788.0,5.637,-3.0599
mp-290662,Zn4Ta3,Ceramic,monoclinic,39.785798150978685,188.52,63.74,4.603,1582.0,6.794,-3.9115
mp-69448,Ge2Cd3,Nitride,orthorhombic,28.77044538592399,296.17,155.43,9.397,408.0,0.07,-0.39
mp-2642,AlPb3Rh3,Metal,orthorhombic,19.09763833546205,16.14,2.48,11.397,1756.0,0.0,-1.0549
mp-503961,Te4Cu2FeIn4,Intermetallic,hexagonal,21.643504700924588,179.9,51.89,3.278,1080.0,0.0,-1.512
mp-595159,BeAr4,Metal,cubic,11.497690690182006,11.87,5.75,7.339,1127.0,0.0,0.1045
mp-79771,ZrIr,Alloy,tetragonal,27.272707072700232,165.21,88.62,9.61,1010.0,0.0,-2.0351
mp-650161,Ar4V3HNi2,Semiconductor,cubic,19.924198438608933,82.74,44.35,4.452,1074.0,1.297,-1.5107
mp-280086,Ar,Ceramic,tetragonal,56.204911393009716,444.34,245.55,3.886,2074.0,6.493,-2.635
mp-558877,Ga3K,Intermetallic,hexagonal,21.557101478021163,140.14,67.87,6.163,1531.0,0.0,-0.3992
mp-101112,BiPd2Be2,Halide,cubic,27.255667334399085,60.38,11.75,5.027,1063.0,5.325,-3.2982
mp-212897,W4AgY,Sulfide,orthorhombic,13.074081690647288,77.62,29.22,0.5,1152.0,0.342,-0.3261
mp-707334,OsS2Sb,Intermetallic,orthorhombic,20.392290799145044,44.18,20.95,11.44,1522.0,0.0,-1.1707
mp-407133,Ca4Zn3Rh,Oxide,monoclinic,23.960623420589773,55.19,22.26,6.373,992.0,2.231,-3.2284
mp-374139,PbRe4,Chalcogenide,cubic,16.469872392869704,49.5,29.61,3.841,1089.0,0.813,-1.2532
mp-41305,Cu3Ti,Silicate,orthorhombic,24.45175146954044,89.7,51.72,3.328,478.0,7.036,-1.416
mp-413316,Ce2Sn4Na3,Phosphide,trigonal,18.487846612779368,45.34,19.75,4.948,1615.0,1.898,-0.6804
mp-975592,OCd3,Metal,cubic,23.908702629188532,127.4,56.9,10.0,1408.0,0.0,-1.1372
mp-766703,TeSc4K3Ta3,Oxide,orthorhombic,40.838128478584885,349.93,186.9,5.718,1796.0,1.166,-1.7632
mp-59718,Sn2Zn3Cd3P4,Intermetallic,trigonal,27.771168170348425,148.39,98.35,4.058,2987.0,0.0,-0.2227
mp-780966,Te3NbOs,Halide,tetragonal,26.29277227994139,83.47,49.8,2.417,1769.0,5.934,-0.9125
mp-219510,Br2,Ceramic,orthorhombic,34.93827087484257,62.12,46.8,2.511,2164.0,6.243,-3.9223
mp-355209,Co4Sb2Os3,Semiconductor,hexagonal,14.887707924141667,48.06,35.57,1.809,1076.0,0.791,-0.9834
mp-662458,BrGa3,Intermetallic,orthorhombic,23.899237054036263,108.97,86.29,8.126,2031.0,0.0,-0.1976
mp-816347,Ne3Si3,Ceramic,trigonal,32.21139518605018,205.45,97.14,2.904,1686.0,5.422,-0.8469
mp-893384,Sb4,Ceramic,trigonal,33.08129996312308,158.04,76.22,3.511,2468.0,2.137,-2.5384
mp-421144,NbBa2Al2,Silicate,tetragonal,30.546314668385723,60.7,12.84,5.536,1461.0,4.509,-4.2381
mp-129458,Hf3GaAu,Sulfide,hexagonal,15.39146078238121,51.19,27.67,6.142,835.0,0.069,-1.1388
mp-978659,GaV3La2Te4,Carbide,monoclinic,25.532780938291438,148.49,86.9,4.771,2056.0,1.97,0.0599
mp-7748,BiLi,Semiconductor,orthorhombic,16.573724939440815,84.76,24.15,5.625,809.0,1.787,-0.4819
mp-180016,ArIr3Ag3,Semiconductor,orthorhombic,16.53941466209279,104.35,27.45,3.535,757.0,2.069,-0.4998
mp-601525,Ta2W2,Oxide,cubic,36.9870756884345,197.45,91.53,3.067,1553.0,4.153,-3.803
mp-980469,C4Ir2,Metal,cubic,32.38339515264371,207.83,187.74,7.791,2376.0,0.0,0.3559
mp-205136,Cl2Zr4O3,Chalcogenide,triclinic,19.315606173929563,81.42,65.84,5.443,982.0,0.624,-1.1403
mp-233019,PPb,Perovskite,cubic,26.42883842407629,96.82,55.98,2.415,1354.0,1.505,-3.543
mp-555947,Au3O3La3,Metal,hexagonal,18.705479515243425,196.16,61.18,6.091,710.0,0.0,0.0716
mp-317256,Re3,Metal,monoclinic,25.832535580787564,102.24,55.4,16.127,2029.0,0.0,0.0
mp-470985,Li2Au4F2,Semiconductor,orthorhombic,22.97871984591767,102.64,54.69,2.402,1755.0,1.876,-1.2645
mp-751890,Mg3W,Silicate,trigonal,36.59916729657406,49.27,33.4,3.228,1202.0,8.619,-5.2745
mp-399782,Sb3AlSK2,Semiconductor,orthorhombic,16.585484296340724,2.0,0.78,3.022,1451.0,2.131,-1.4862
mp-621540,Hf2N3Ne4,Alloy,monoclinic,18.461727644985054,85.81,65.52,5.122,1192.0,0.0,-0.7768
mp-748397,AlF,Metal,hexagonal,34.52477747570707,175.75,107.43,13.088,2033.0,0.0,-2.0046
mp-580106,Mg3ReBi4,Oxide,tetragonal,43.70919115774012,138.28,58.63,3.635,2543.0,9.748,-3.4724
mp-695957,Ti3Zr4,Intermetallic,hexagonal,22.732325646845084,171.91,104.74,5.189,1061.0,0.0,-0.6489
mp-253239,VAl3Ge,Perovskite,trigonal,22.565414090317617,86.03,29.54,3.903,1081.0,3.051,-2.0388
mp-334478,V2TiRu3Ar3,Oxide,tetragonal,35.583421717212524,94.76,45.48,2.608,3195.0,3.248,-3.519
mp-710971,F2Fe2,Boride,cubic,31.03620397924217,284.01,162.98,4.267,676.0,1.615,-1.1936
mp-731083,VP2,Phosphide,orthorhombic,21.008027443499863,94.23,56.64,1.045,1547.0,1.241,-1.5041
mp-484445,Si4Mo2,Metal,cubic,19.63354859079241,149.59,81.98,0.761,958.0,0.0,-1.2863
mp-401640,In2Li2Hf4Ti3,Sulfide,cubic,12.588456496019017,13.72,6.79,4.101,1116.0,1.899,-0.0339
mp-821192,Ag4Cl2,Metal,tetragonal,29.022474083561477,160.45,67.01,13.839,1570.0,0.0,-1.4261
mp-236586,O4,Chalcogenide,orthorhombic,16.696273504381786,34.83,22.13,2.684,1092.0,2.672,-1.0155
mp-161646,Cd2Ge4,Carbide,cubic,26.53075071956092,267.84,124.15,0.92,1970.0,0.434,0.4262
mp-681731,Ir2,Nitride,cubic,34.96384630189918,298.85,166.27,5.186,1764.0,3.556,0.4613
mp-54110,Na3TeW2,Ceramic,monoclinic,39.52212601300474,176.86,132.19,3.349,984.0,7.147,-3.6893
mp-251675,LiBGa4,Oxide,trigonal,37.74588226014682,127.77,87.7,6.286,1971.0,7.041,-2.3978
mp-862998,V4,Silicate,tetragonal,20.79076866697131,9.57,2.82,4.339,1147.0,3.857,-2.3743
mp-881261,H2Ar,Oxide,cubic,37.8431272588804,126.12,63.17,2.485,1950.0,7.039,-3.7808
mp-809290,P3Te4Br2N4,Metal,tetragonal,12.266190595225012,38.95,16.7,1.529,761.0,0.0,-1.4109
mp-51524,In2,Metal,hexagonal,20.904949494695465,190.5,103.87,0.5,1458.0,0.0,0.0
mp-95279,GaPt3O,Perovskite,cubic,28.742989517059236,154.4,33.74,6.611,1371.0,1.249,-3.2823
mp-93913,H3Co4,Intermetallic,triclinic,18.519079656878,93.4,68.55,5.261,1699.0,0.0,0.2299
mp-60715,BrCo,Semiconductor,hexagonal,14.726315914099397,90.73,20.99,3.609,636.0,1.112,-0.7626
mp-54182,Sc,Oxide,hexagonal,28.31913237723613,75.92,77.51,3.525,2333.0,0.824,-2.6852
mp-329018,Fe4Sn4Ru2,Oxide,cubic,38.73725376325788,124.31,90.99,2.522,2757.0,7.02,-2.2967
mp-338450,Al3Fe4,Semiconductor,cubic,13.430655485518189,59.3,38.79,2.842,1226.0,1.398,0.5939
mp-566847,W4Pt,Ceramic,hexagonal,46.0738173358716,185.21,122.5,3.295,2809.0,3.592,-5.1828
mp-522459,RhBrB2,Metal,cubic,20.030559044835915,123.63,88.55,8.742,553.0,0.0,-0.6788
mp-188248,B3,Alloy,hexagonal,16.03420813755937,53.67,46.11,13.127,566.0,0.0,0.0
mp-145580,Li2W2CeS2,Ceramic,hexagonal,46.19419991697807,200.13,117.16,5.052,2488.0,5.939,-4.0999
mp-686006,Bi2S2Hf,Chalcogenide,monoclinic,23.96412960279516,25.67,13.47,5.504,1575.0,4.515,-1.9231
mp-972496,YSb2,Phosphide,cubic,15.547916840343303,22.9,13.5,3.369,1527.0,0.047,-1.3583
mp-371299,Cr3VFe,Sulfide,hexagonal,15.226342315299288,66.01,36.48,3.774,680.0,0.85,-1.0428
mp-563147,S3Ti2,Nitride,tetragonal,29.871656133977535,196.0,106.39,6.683,1219.0,1.962,-1.5654
mp-448843,Sc4Fe2W2In2,Boride,trigonal,30.850966014257626,333.18,136.16,5.104,200.0,1.725,-1.477
mp-123007,PtH2N3Os,Phosphide,hexagonal,13.661715707889655,55.51,34.47,2.686,808.0,1.63,-0.24
mp-109310,Ti3Bi3Cl4Ba3,Intermetallic,cubic,19.198214958384057,100.37,68.76,1.867,1408.0,0.0,-1.1256
mp-878086,Sn2Li,Sulfide,hexagonal,24.09981666795948,143.93,44.85,4.692,1433.0,1.713,-1.4291
mp-866707,Mn2B2Cl4V4,Oxide,monoclinic,52.43138426906154,314.82,190.97,2.098,2420.0,5.077,-4.6197
mp-80417,Ce4Ti4Re2,Nitride,monoclinic,31.94907683404356,265.01,180.41,7.75,950.0,1.916,-0.161
mp-843984,Pb4Ar2O4,Ceramic,cubic,41.97588761589937,155.44,105.3,5.368,1263.0,7.979,-4.2189
mp-112300,P2Mg3Se2,Intermetallic,monoclinic,21.582534279266135,185.4,48.52,2.598,1492.0,0.0,-0.9428
mp-883879,Ge2As4,Ceramic,cubic,36.1490467118127,124.17,40.89,2.132,1704.0,5.923,-4.6068
mp-426030,Ir3Zn2,Sulfide,hexagonal,14.113383499312967,40.72,20.68,2.338,1831.0,1.475,0.6128
mp-41435,Li3S3Au2,Intermetallic,hexagonal,34.15785501725534,230.38,195.44,12.66,1319.0,0.0,-0.576
mp-355739,F4Ru,Semiconductor,trigonal,24.3696073108718,117.64,62.72,3.246,1737.0,1.625,-1.4198
mp-219358,Ne4Cd2Ni,Chalcogenide,triclinic,27.584547478379616,93.79,32.3,5.442,2536.0,1.648,-1.8759
mp-729224,Zn3Pb2,Semiconductor,cubic,22.941582147625482,76.33,39.36,3.26,1716.0,2.203,-1.6578
mp-413464,NeCa4CdNb4,Ceramic,orthorhombic,32.29693600162073,192.75,144.74,4.982,1782.0,3.486,-0.5
mp-274628,H4Zr3,Metal,cubic,18.03852325579021,81.0,46.48,3.332,1383.0,0.0,-1.1185
mp-381289,Nb3CeV2In3,Nitride,tetragonal,27.215473628745634,131.37,84.55,4.309,1583.0,1.508,-2.0123
mp-422547,Sb2K,Carbide,trigonal,30.504295160016753,195.86,107.2,8.401,1413.0,1.418,-1.3977
mp-166107,W3Pd2Zr2Ba2,Metal,cubic,23.8308579386608,140.29,65.08,6.016,2523.0,0.0,0.2301
mp-8449,PdZn4,Nitride,trigonal,25.154336970192944,193.63,81.17,3.71,864.0,2.291,-1.2534
mp-145440,Hf4,Nitride,tetragonal,31.116282662256133,270.26,109.85,4.7,1359.0,1.35,-1.4014
mp-982600,MnH3,Halide,orthorhombic,22.301724216680906,112.89,43.56,6.447,976.0,1.553,-1.6483
mp-465452,Ge2Zr4F3C2,Phosphide,orthorhombic,15.033068604366797,85.57,44.42,1.521,1448.0,0.933,0.3017
mp-553501,C3Ni2,Metal,cubic,12.806604851806814,11.68,6.85,6.003,1219.0,0.0,-0.5307
mp-859544,Li4Fe3O3,Semiconductor,cubic,20.614278464964233,119.09,53.79,0.736,1601.0,2.558,-0.357
mp-857696,Sn,Ceramic,cubic,39.22846145606055,215.12,80.75,5.335,2153.0,2.952,-3.7957
mp-285776,Fe3Ru2Pd,Oxide,tetragonal,44.103525006857076,282.6,158.68,3.335,1455.0,4.914,-3.7985
mp-930249,MgCoO2,Intermetallic,hexagonal,18.17930646905186,79.49,46.75,9.531,588.0,0.0,-1.1878
mp-679212,Nb4,Carbide,monoclinic,47.855279108734436,360.38,185.1,6.853,2201.0,2.637,-2.8158
mp-832808,Nb3N4,Silicate,hexagonal,42.68414936473889,131.82,49.16,7.383,1915.0,10.812,-3.0509
mp-489958,V3B2Cl2Fe,Oxide,hexagonal,50.94768405180046,225.93,184.05,5.274,1395.0,6.37,-5.8269
mp-592146,S4Se4H4Pb3,Metal,orthorhombic,23.345580626213636,97.38,48.86,7.948,1721.0,0.0,-1.4303
mp-329141,Se3W3,Nitride,tetragonal,26.461073383314815,283.33,98.97,4.182,742.0,1.503,-0.6047
mp-581659,La4Al2V2P3,Nitride,monoclinic,24.770079879854208,176.92,85.27,7.14,200.0,2.758,-1.3944
mp-547602,C4Sc2,Alloy,orthorhombic,24.931520382847154,166.28,63.45,8.639,1985.0,0.0,-0.1899
mp-709543,Ba4La2,Oxide,cubic,54.408609972989744,205.57,157.44,6.043,2412.0,10.045,-4.3726
mp-532661,Pd4PbCd2,Phosphide,monoclinic,16.620784786057666,78.8,27.72,7.456,1050.0,1.784,0.2605
mp-650489,Fe3Na2,Oxide,monoclinic,20.356198215456033,96.06,27.79,4.514,2114.0,0.5,-0.5
mp-710298,Au4Sr3,Intermetallic,monoclinic,23.343602100101442,205.04,67.2,16.659,636.0,0.0,0.5678
mp-866962,Ni3FGe2,Semiconductor,cubic,17.613199354447335,124.97,41.48,6.31,1057.0,0.231,-0.1944
mp-768069,CdCa4,Metal,hexagonal,25.320878055031542,194.74,104.4,11.007,1002.0,0.0,-0.2291
mp-529357,Na2B2Cd4,Semiconductor,cubic,12.228023381760673,115.5,67.04,2.892,244.0,1.142,0.7327
mp-88626,NIn3Ir4Ge,Ceramic,hexagonal,39.1647522203364,176.21,59.68,4.093,2103.0,5.784,-3.6837
mp-404435,Sn2Nb4,Intermetallic,hexagonal,31.072939145689006,152.01,101.88,13.807,1407.0,0.0,-1.954
mp-399141,AsTa3V2,Nitride,tetragonal,39.96199771641455,312.35,180.57,1.292,1287.0,3.505,-2.6826
mp-742833,ArNi,Phosphide,hexagonal,18.66989551936462,80.12,19.78,3.465,847.0,0.535,-2.493
mp-948906,N3,Oxide,cubic,36.397960086585286,62.44,34.3,2.855,1862.0,7.53,-4.5267
mp-408193,In3Cu,Oxide,monoclinic,37.393351907954546,135.68,44.76,4.989,2449.0,6.272,-2.8652
mp-112564,Bi4,Semiconductor,hexagonal,25.384678377709495,117.76,79.16,6.77,1482.0,0.86,-1.5573
mp-898388,Mg3Co3Ru4,Ceramic,monoclinic,47.64847750415012,202.69,132.95,7.255,1736.0,7.002,-4.5671
mp-742030,C3Ar2,Chalcogenide,orthorhombic,18.772246830678483,40.06,20.0,2.519,1847.0,0.288,-1.8031
mp-983906,O3,Metal,orthorhombic,17.862302679683594,42.6,12.29,7.419,2255.0,0.0,0.0
mp-752541,PdMo4,Carbide,tetragonal,43.40565336934326,345.86,198.03,6.325,2224.0,3.927,-0.4215
mp-777459,K3,Metal,cubic,19.03517701624641,174.93,33.28,5.874,1302.0,0.0,0.0
mp-637717,Zn4Si2,Metal,orthorhombic,28.786939610396992,153.34,115.57,5.529,1934.0,0.0,-1.6291
mp-174657,Ni2He4,Semiconductor,monoclinic,26.320553341716977,166.47,92.75,0.703,1402.0,0.89,-2.3419
mp-289254,LiS4La2,Metal,tetragonal,13.836951127728874,18.74,8.48,5.605,1349.0,0.0,-0.6783
mp-204257,Ar4Be3,Perovskite,cubic,24.78202351932435,82.55,43.72,7.752,1266.0,0.233,-2.9927
